burn_in_run,campaign_id,candidate_id,rank,title,score,profile,policy
BP1,9d0e1f2a3b4c4b5d,0f1a2b3c4d5e4a7f,2,Ceria-Doped Nickel Phosphide for Alkaline HER via Defect-Mediated Hydrogen Spillover,0.9105,production_daily_clean_energy,evidence_diversity_v1
BP1,9d0e1f2a3b4c4b5d,1a2b3c4d5e6f4b80,3,MXene-Functionalized Carbon Fiber for Structural Supercapacitor Integration,0.8930,production_daily_clean_energy,evidence_diversity_v1
BP1,9d0e1f2a3b4c4b5d,2b3c4d5e6f7a4c91,4,Perovskite Solar Cell Stability Enhancement via Mechanistic Halide Passivation,0.8830,production_daily_clean_energy,evidence_diversity_v1
BP1,9d0e1f2a3b4c4b5d,3c4d5e6f7a8b4da2,5,Photoelectrochemical Water Splitting via FeS2 Heterojunction with Gradient Doping,0.8730,production_daily_clean_energy,evidence_diversity_v1
BP2,6e7f8a9b0c1d4c6e,7f8a9b0c1d2e4b7f,1,Quantum Confined Sulfide Networks for Photocatalytic Nitrogen Reduction,0.9105,production_daily_clean_energy,evidence_diversity_v1
BP2,6e7f8a9b0c1d4c6e,8a9b0c1d2e3f4c80,2,Electrochemical Coupling of CO2 Reduction with Biomass Valorization via Iron Porphyrin,0.9005,production_daily_clean_energy,evidence_diversity_v1
BP2,6e7f8a9b0c1d4c6e,9b0c1d2e3f4a4d91,3,Atomically Thin MoS2 Edge Sites for Electrocatalytic Hydrogen Production,0.8930,production_daily_clean_energy,evidence_diversity_v1
BP2,6e7f8a9b0c1d4c6e,0c1d2e3f4a5b4ea2,4,Tandem Photovoltaic-Electrolyzer Integration via Optical Concentration,0.8830,production_daily_clean_energy,evidence_diversity_v1
BP2,6e7f8a9b0c1d4c6e,1d2e3f4a5b6c4fb3,5,Membrane-Electrode Assembly Optimization for PEM Water Electrolysis,0.8630,production_daily_clean_energy,evidence_diversity_v1
BP3,3f0a1b2c3d4e4d7f,4a5b6c7d8e9f4c80,1,Covalent Organic Framework Scaffolds for Lithium-Sulfur Battery Polysulfide Trapping,0.8930,production_daily_clean_energy,evidence_diversity_v1
BP3,3f0a1b2c3d4e4d7f,5b6c7d8e9f0a4d91,2,Zeolitic Imidazolate Framework-Derived Carbon for Zinc-Air Battery Cathodes,0.8830,production_daily_clean_energy,evidence_diversity_v1
BP3,3f0a1b2c3d4e4d7f,6c7d8e9f0a1b4ea2,3,Sulfone-Based Electrolyte Additive for High-Voltage Lithium Metal Batteries,0.8730,production_daily_clean_energy,evidence_diversity_v1
BP3,3f0a1b2c3d4e4d7f,7d8e9f0a1b2c4fb3,4,Vanadium Redox Flow Battery Membrane Selectivity via Crosslinked Sulfonation,0.8630,production_daily_clean_energy,evidence_diversity_v1
BP3,3f0a1b2c3d4e4d7f,8e9f0a1b2c3d4ac4,5,Non-Aqueous Zinc-Iodine Battery with Iodine Confinement via MOF-Derived Carbon,0.8530,production_daily_clean_energy,evidence_diversity_v1
